"task_id","phase","workstream","module_id","module","task","issue","recommendation","priority","effort","dependencies","acceptance_evidence","owner","status","reconciliation_status","evidence","basis","reconciled_at"
"UX-018B","Phase 2","General / Work Mode","GEN-11","Personal calendar and bookings","Implement the complete responsive workflow and all system states for Personal calendar and bookings.","The standalone calendar exposes IDs directly and bookings/calendar behavior is fragmented.","Replace technical ID entry with connected-account pickers, agenda/calendar views, conflict warnings, and export/subscription.","P1","L","UX-018A,FND-020,FND-023,FND-026,FND-027,FND-034","A user can understand commitments across tickets, jobs, artist, venue, and Admin contexts.","","needs remediation","needs remediation","Canonical /calendar agenda reads authenticated tickets, bookings, and assignments, removes raw ID entry, reports partial sources, and detects overlapping commitments.","The General agenda and conflict model are implemented; external subscription/export and responsive assistive-technology evidence remain.","2026-07-28"
"UX-018C","Phase 7","General / Work Mode","GEN-11","Personal calendar and bookings","Validate accessibility, mobile behavior, performance, telemetry, permissions, and recovery for Personal calendar and bookings.","The standalone calendar exposes IDs directly and bookings/calendar behavior is fragmented.","Replace technical ID entry with connected-account pickers, agenda/calendar views, conflict warnings, and export/subscription.","P1","M","UX-018B,FND-040","Automated and manual evidence proves Personal calendar and bookings at 320px, tablet, desktop, keyboard, screen reader, slow network, empty data, error, and forbidden states.","","needs remediation","needs remediation","Canonical /calendar agenda reads authenticated tickets, bookings, and assignments, removes raw ID entry, reports partial sources, and detects overlapping commitments.","The General agenda and conflict model are implemented; external subscription/export and responsive assistive-technology evidence remain.","2026-07-28"
"UX-019A","Phase 2","General / Work Mode","GEN-12","Work Mode","Confirm canonical user journey, route ownership, permissions, and object status model for Work Mode.","The assignment widget exists, but the dedicated worker dashboard is missing.","Build assignment-scoped Today, Schedule, Tasks, Updates, Site Map, Day Sheet, Docs, Travel, Pay, Contacts, and Check-in views.","P0","M","FND-002,FND-007,FND-011","Approved journey map covers entry, orientation, start, validation, completion, recovery, and return for Work Mode.","","needs remediation","needs remediation","Authenticated Work Mode APIs, canonical /work workspace, publication-backed worker modules, worker-action tests, and manual-only check-in/acknowledgement SQL package.","Implementation is complete behind the SQL feature gate; operator postflight plus accessibility and moderated journey evidence remain.","2026-07-28"
"UX-019B","Phase 2","General / Work Mode","GEN-12","Work Mode","Implement the complete responsive workflow and all system states for Work Mode.","The assignment widget exists, but the dedicated worker dashboard is missing.","Build assignment-scoped Today, Schedule, Tasks, Updates, Site Map, Day Sheet, Docs, Travel, Pay, Contacts, and Check-in views.","P0","XL","UX-019A,FND-020,FND-023,FND-026,FND-027,FND-034","A hired worker can execute an assignment without entering employer-only Admin or Venue routes.","","needs remediation","needs remediation","Authenticated Work Mode APIs, canonical /work workspace, publication-backed worker modules, worker-action tests, and manual-only check-in/acknowledgement SQL package.","Implementation is complete behind the SQL feature gate; operator postflight plus accessibility and moderated journey evidence remain.","2026-07-28"
"UX-019C","Phase 7","General / Work Mode","GEN-12","Work Mode","Validate accessibility, mobile behavior, performance, telemetry, permissions, and recovery for Work Mode.","The assignment widget exists, but the dedicated worker dashboard is missing.","Build assignment-scoped Today, Schedule, Tasks, Updates, Site Map, Day Sheet, Docs, Travel, Pay, Contacts, and Check-in views.","P0","M","UX-019B,FND-040","Automated and manual evidence proves Work Mode at 320px, tablet, desktop, keyboard, screen reader, slow network, empty data, error, and forbidden states.","","needs remediation","needs remediation","Authenticated Work Mode APIs, canonical /work workspace, publication-backed worker modules, worker-action tests, and manual-only check-in/acknowledgement SQL package.","Implementation is complete behind the SQL feature gate; operator postflight plus accessibility and moderated journey evidence remain.","2026-07-28"
"UX-020A","Phase 3","Artist","ART-01","Artist home and overview","Confirm canonical user journey, route ownership, permissions, and object status model for Artist home and overview.","Artist home, overview, analytics, and business dashboards overlap.","Make Artist Home action-oriented and Overview career-oriented; consolidate KPIs and remove duplicate cards.","P1","M","FND-002,FND-007,FND-011","Approved journey map covers entry, orientation, start, validation, completion, recovery, and return for Artist home and overview.","","not started","not started","No task-specific acceptance bundle located during the initial reconciliation.","Implementation may exist, but it is not credited without task-level evidence.","2026-07-28"
"UX-020B","Phase 3","Artist","ART-01","Artist home and overview","Implement the complete responsive workflow and all system states for Artist home and overview.","Artist home, overview, analytics, and business dashboards overlap.","Make Artist Home action-oriented and Overview career-oriented; consolidate KPIs and remove duplicate cards.","P1","L","UX-020A,FND-020,FND-023,FND-026,FND-027,FND-034","Artist sees release, event, audience, revenue, and task priorities with consistent date and data provenance.","","not started","not started","No task-specific acceptance bundle located during the initial reconciliation.","Implementation may exist, but it is not credited without task-level evidence.","2026-07-28"
"UX-020C","Phase 7","Artist","ART-01","Artist home and overview","Validate accessibility, mobile behavior, performance, telemetry, permissions, and recovery for Artist home and overview.","Artist home, overview, analytics, and business dashboards overlap.","Make Artist Home action-oriented and Overview career-oriented; consolidate KPIs and remove duplicate cards.","P1","M","UX-020B,FND-040","Automated and manual evidence proves Artist home and overview at 320px, tablet, desktop, keyboard, screen reader, slow network, empty data, error, and forbidden states.","","not started","not started","No task-specific acceptance bundle located during the initial reconciliation.","Implementation may exist, but it is not credited without task-level evidence.","2026-07-28"
"UX-021A","Phase 3","Artist","ART-02","Artist navigation","Confirm canonical user journey, route ownership, permissions, and object status model for Artist navigation.","Desktop sidebar, mobile nav, root global nav, and deeper business navigation compete.","Use one responsive navigation model with stable group labels, account switch context, create action, and breadcrumbs.","P1","M","FND-002,FND-007,FND-011","Approved journey map covers entry, orientation, start, validation, completion, recovery, and return for Artist navigation.","","not started","not started","No task-specific acceptance bundle located during the initial reconciliation.","Implementation may exist, but it is not credited without task-level evidence.","2026-07-28"
"UX-021B","Phase 3","Artist","ART-02","Artist navigation","Implement the complete responsive workflow and all system states for Artist navigation.","Desktop sidebar, mobile nav, root global nav, and deeper business navigation compete.","Use one responsive navigation model with stable group labels, account switch context, create action, and breadcrumbs.","P1","L","UX-021A,FND-020,FND-023,FND-026,FND-027,FND-034","Every Artist destination is reachable in two interactions or fewer without duplicate active states.","","not started","not started","No task-specific acceptance bundle located during the initial reconciliation.","Implementation may exist, but it is not credited without task-level evidence.","2026-07-28"
"UX-021C","Phase 7","Artist","ART-02","Artist navigation","Validate accessibility, mobile behavior, performance, telemetry, permissions, and recovery for Artist navigation.","Desktop sidebar, mobile nav, root global nav, and deeper business navigation compete.","Use one responsive navigation model with stable group labels, account switch context, create action, and breadcrumbs.","P1","M","UX-021B,FND-040","Automated and manual evidence proves Artist navigation at 320px, tablet, desktop, keyboard, screen reader, slow network, empty data, error, and forbidden states.","","not started","not started","No task-specific acceptance bundle located during the initial reconciliation.","Implementation may exist, but it is not credited without task-level evidence.","2026-07-28"
"UX-022A","Phase 3","Artist","ART-03","Artist profile and appearance","Confirm canonical user journey, route ownership, permissions, and object status model for Artist profile and appearance.","Public renderer, editor, template variants, hero styles, and aliases can drift.","Adopt one versioned profile schema with six hero styles, section ordering, live preview, undo, mobile preview, and accessibility guardrails.","P1","M","FND-002,FND-007,FND-011","Approved journey map covers entry, orientation, start, validation, completion, recovery, and return for Artist profile and appearance.","","not started","not started","No task-specific acceptance bundle located during the initial reconciliation.","Implementation may exist, but it is not credited without task-level evidence.","2026-07-28"
"UX-022B","Phase 3","Artist","ART-03","Artist profile and appearance","Implement the complete responsive workflow and all system states for Artist profile and appearance.","Public renderer, editor, template variants, hero styles, and aliases can drift.","Adopt one versioned profile schema with six hero styles, section ordering, live preview, undo, mobile preview, and accessibility guardrails.","P1","L","UX-022A,FND-020,FND-023,FND-026,FND-027,FND-034","All profile fields remain editable and every template preserves required content and contrast.","","not started","not started","No task-specific acceptance bundle located during the initial reconciliation.","Implementation may exist, but it is not credited without task-level evidence.","2026-07-28"
"UX-022C","Phase 7","Artist","ART-03","Artist profile and appearance","Validate accessibility, mobile behavior, performance, telemetry, permissions, and recovery for Artist profile and appearance.","Public renderer, editor, template variants, hero styles, and aliases can drift.","Adopt one versioned profile schema with six hero styles, section ordering, live preview, undo, mobile preview, and accessibility guardrails.","P1","M","UX-022B,FND-040","Automated and manual evidence proves Artist profile and appearance at 320px, tablet, desktop, keyboard, screen reader, slow network, empty data, error, and forbidden states.","","not started","not started","No task-specific acceptance bundle located during the initial reconciliation.","Implementation may exist, but it is not credited without task-level evidence.","2026-07-28"
"UX-023A","Phase 3","Artist","ART-04","EPK builder","Confirm canonical user journey, route ownership, permissions, and object status model for EPK builder.","EPK variants exceed 3,400 lines and several sections still contain TODO import/edit/verification actions.","Split schema, templates, editor panels, preview, and export; add autosave, publish version, share analytics, and print/PDF QA.","P1","M","FND-002,FND-007,FND-011","Approved journey map covers entry, orientation, start, validation, completion, recovery, and return for EPK builder.","","not started","not started","No task-specific acceptance bundle located during the initial reconciliation.","Implementation may exist, but it is not credited without task-level evidence.","2026-07-28"
"UX-023B","Phase 3","Artist","ART-04","EPK builder","Implement the complete responsive workflow and all system states for EPK builder.","EPK variants exceed 3,400 lines and several sections still contain TODO import/edit/verification actions.","Split schema, templates, editor panels, preview, and export; add autosave, publish version, share analytics, and print/PDF QA.","P1","L","UX-023A,FND-020,FND-023,FND-026,FND-027,FND-034","Every EPK section edits, previews, publishes, shares, and exports consistently across templates.","","not started","not started","No task-specific acceptance bundle located during the initial reconciliation.","Implementation may exist, but it is not credited without task-level evidence.","2026-07-28"
"UX-023C","Phase 7","Artist","ART-04","EPK builder","Validate accessibility, mobile behavior, performance, telemetry, permissions, and recovery for EPK builder.","EPK variants exceed 3,400 lines and several sections still contain TODO import/edit/verification actions.","Split schema, templates, editor panels, preview, and export; add autosave, publish version, share analytics, and print/PDF QA.","P1","M","UX-023B,FND-040","Automated and manual evidence proves EPK builder at 320px, tablet, desktop, keyboard, screen reader, slow network, empty data, error, and forbidden states.","","not started","not started","No task-specific acceptance bundle located during the initial reconciliation.","Implementation may exist, but it is not credited without task-level evidence.","2026-07-28"
"UX-024A","Phase 3","Artist","ART-05","Music upload and catalog","Confirm canonical user journey, route ownership, permissions, and object status model for Music upload and catalog.","Upload, catalog, rights, certification, analytics, and marketplace are spread across many routes.","Create one track detail model and staged upload flow: file, metadata, ownership, release, protection, monetization, publish.","P1","M","FND-002,FND-007,FND-011","Approved journey map covers entry, orientation, start, validation, completion, recovery, and return for Music upload and catalog.","","not started","not started","No task-specific acceptance bundle located during the initial reconciliation.","Implementation may exist, but it is not credited without task-level evidence.","2026-07-28"
"UX-024B","Phase 3","Artist","ART-05","Music upload and catalog","Implement the complete responsive workflow and all system states for Music upload and catalog.","Upload, catalog, rights, certification, analytics, and marketplace are spread across many routes.","Create one track detail model and staged upload flow: file, metadata, ownership, release, protection, monetization, publish.","P1","L","UX-024A,FND-020,FND-023,FND-026,FND-027,FND-034","Upload resumes safely; validation is field-specific; track status and next action are always visible.","","not started","not started","No task-specific acceptance bundle located during the initial reconciliation.","Implementation may exist, but it is not credited without task-level evidence.","2026-07-28"
"UX-024C","Phase 7","Artist","ART-05","Music upload and catalog","Validate accessibility, mobile behavior, performance, telemetry, permissions, and recovery for Music upload and catalog.","Upload, catalog, rights, certification, analytics, and marketplace are spread across many routes.","Create one track detail model and staged upload flow: file, metadata, ownership, release, protection, monetization, publish.","P1","M","UX-024B,FND-040","Automated and manual evidence proves Music upload and catalog at 320px, tablet, desktop, keyboard, screen reader, slow network, empty data, error, and forbidden states.","","not started","not started","No task-specific acceptance bundle located during the initial reconciliation.","Implementation may exist, but it is not credited without task-level evidence.","2026-07-28"
"UX-025A","Phase 3","Artist","ART-06","Music player and library","Confirm canonical user journey, route ownership, permissions, and object status model for Music player and library.","Persistent player, full player, library, and public music displays have separate interaction models.","Standardize queue, playback, save, share, purchase, lyrics/credits, device handoff, and unavailable-media states.","P1","M","FND-002,FND-007,FND-011","Approved journey map covers entry, orientation, start, validation, completion, recovery, and return for Music player and library.","","not started","not started","No task-specific acceptance bundle located during the initial reconciliation.","Implementation may exist, but it is not credited without task-level evidence.","2026-07-28"
"UX-025B","Phase 3","Artist","ART-06","Music player and library","Implement the complete responsive workflow and all system states for Music player and library.","Persistent player, full player, library, and public music displays have separate interaction models.","Standardize queue, playback, save, share, purchase, lyrics/credits, device handoff, and unavailable-media states.","P1","L","UX-025A,FND-020,FND-023,FND-026,FND-027,FND-034","Playback persists across navigation and controls meet keyboard, screen-reader, and mobile media expectations.","","not started","not started","No task-specific acceptance bundle located during the initial reconciliation.","Implementation may exist, but it is not credited without task-level evidence.","2026-07-28"
"UX-025C","Phase 7","Artist","ART-06","Music player and library","Validate accessibility, mobile behavior, performance, telemetry, permissions, and recovery for Music player and library.","Persistent player, full player, library, and public music displays have separate interaction models.","Standardize queue, playback, save, share, purchase, lyrics/credits, device handoff, and unavailable-media states.","P1","M","UX-025B,FND-040","Automated and manual evidence proves Music player and library at 320px, tablet, desktop, keyboard, screen reader, slow network, empty data, error, and forbidden states.","","not started","not started","No task-specific acceptance bundle located during the initial reconciliation.","Implementation may exist, but it is not credited without task-level evidence.","2026-07-28"
"UX-026A","Phase 3","Artist","ART-07","Music analytics","Confirm canonical user journey, route ownership, permissions, and object status model for Music analytics.","Analytics can imply precision without consistently naming source, timeframe, or freshness.","Label provider, last sync, coverage, timezone, comparison period, and unavailable dimensions; add export.","P1","M","FND-002,FND-007,FND-011","Approved journey map covers entry, orientation, start, validation, completion, recovery, and return for Music analytics.","","not started","not started","No task-specific acceptance bundle located during the initial reconciliation.","Implementation may exist, but it is not credited without task-level evidence.","2026-07-28"
"UX-026B","Phase 3","Artist","ART-07","Music analytics","Implement the complete responsive workflow and all system states for Music analytics.","Analytics can imply precision without consistently naming source, timeframe, or freshness.","Label provider, last sync, coverage, timezone, comparison period, and unavailable dimensions; add export.","P1","L","UX-026A,FND-020,FND-023,FND-026,FND-027,FND-034","Every metric exposes source, date range, definition, and empty/error behavior.","","not started","not started","No task-specific acceptance bundle located during the initial reconciliation.","Implementation may exist, but it is not credited without task-level evidence.","2026-07-28"
"UX-026C","Phase 7","Artist","ART-07","Music analytics","Validate accessibility, mobile behavior, performance, telemetry, permissions, and recovery for Music analytics.","Analytics can imply precision without consistently naming source, timeframe, or freshness.","Label provider, last sync, coverage, timezone, comparison period, and unavailable dimensions; add export.","P1","M","UX-026B,FND-040","Automated and manual evidence proves Music analytics at 320px, tablet, desktop, keyboard, screen reader, slow network, empty data, error, and forbidden states.","","not started","not started","No task-specific acceptance bundle located during the initial reconciliation.","Implementation may exist, but it is not credited without task-level evidence.","2026-07-28"
"UX-027A","Phase 3","Artist","ART-08","Certification, rights, and licensing","Confirm canonical user journey, route ownership, permissions, and object status model for Certification, rights, and licensing.","Deep rights/governance features risk overwhelming new artists.","Use a progressive Trust Center: simple certification upsell first, advanced rights and governance behind explainers.","P1","M","FND-002,FND-007,FND-011","Approved journey map covers entry, orientation, start, validation, completion, recovery, and return for Certification, rights, and licensing.","","not started","not started","No task-specific acceptance bundle located during the initial reconciliation.","Implementation may exist, but it is not credited without task-level evidence.","2026-07-28"
"UX-027B","Phase 3","Artist","ART-08","Certification, rights, and licensing","Implement the complete responsive workflow and all system states for Certification, rights, and licensing.","Deep rights/governance features risk overwhelming new artists.","Use a progressive Trust Center: simple certification upsell first, advanced rights and governance behind explainers.","P1","L","UX-027A,FND-020,FND-023,FND-026,FND-027,FND-034","Artists understand free upload vs paid certification, required evidence, status, appeal, and downstream effects.","","not started","not started","No task-specific acceptance bundle located during the initial reconciliation.","Implementation may exist, but it is not credited without task-level evidence.","2026-07-28"
"UX-027C","Phase 7","Artist","ART-08","Certification, rights, and licensing","Validate accessibility, mobile behavior, performance, telemetry, permissions, and recovery for Certification, rights, and licensing.","Deep rights/governance features risk overwhelming new artists.","Use a progressive Trust Center: simple certification upsell first, advanced rights and governance behind explainers.","P1","M","UX-027B,FND-040","Automated and manual evidence proves Certification, rights, and licensing at 320px, tablet, desktop, keyboard, screen reader, slow network, empty data, error, and forbidden states.","","not started","not started","No task-specific acceptance bundle located during the initial reconciliation.","Implementation may exist, but it is not credited without task-level evidence.","2026-07-28"
"UX-028A","Phase 3","Artist","ART-09","Content and post templates","Confirm canonical user journey, route ownership, permissions, and object status model for Content and post templates.","Content hub, feed, blog, press, cross-platform composer, and post templates overlap.","Use one content workspace with format selection, template appearance, per-channel preview, scheduling, drafts, and campaign linkage.","P1","M","FND-002,FND-007,FND-011","Approved journey map covers entry, orientation, start, validation, completion, recovery, and return for Content and post templates.","","not started","not started","No task-specific acceptance bundle located during the initial reconciliation.","Implementation may exist, but it is not credited without task-level evidence.","2026-07-28"
"UX-028B","Phase 3","Artist","ART-09","Content and post templates","Implement the complete responsive workflow and all system states for Content and post templates.","Content hub, feed, blog, press, cross-platform composer, and post templates overlap.","Use one content workspace with format selection, template appearance, per-channel preview, scheduling, drafts, and campaign linkage.","P1","L","UX-028A,FND-020,FND-023,FND-026,FND-027,FND-034","One draft can be adapted to Tourify and connected channels without losing media or attribution.","","not started","not started","No task-specific acceptance bundle located during the initial reconciliation.","Implementation may exist, but it is not credited without task-level evidence.","2026-07-28"
"UX-028C","Phase 7","Artist","ART-09","Content and post templates","Validate accessibility, mobile behavior, performance, telemetry, permissions, and recovery for Content and post templates.","Content hub, feed, blog, press, cross-platform composer, and post templates overlap.","Use one content workspace with format selection, template appearance, per-channel preview, scheduling, drafts, and campaign linkage.","P1","M","UX-028B,FND-040","Automated and manual evidence proves Content and post templates at 320px, tablet, desktop, keyboard, screen reader, slow network, empty data, error, and forbidden states.","","not started","not started","No task-specific acceptance bundle located during the initial reconciliation.","Implementation may exist, but it is not credited without task-level evidence.","2026-07-28"
"UX-029A","Phase 3","Artist","ART-10","Press and blog publishing","Confirm canonical user journey, route ownership, permissions, and object status model for Press and blog publishing.","Press editor and blog ecosystem are substantial but author role, editorial review, and distribution states need clearer hierarchy.","Separate blog, press release, journalist pitch, and article workflows; show review/distribution status and audience.","P1","M","FND-002,FND-007,FND-011","Approved journey map covers entry, orientation, start, validation, completion, recovery, and return for Press and blog publishing.","","not started","not started","No task-specific acceptance bundle located during the initial reconciliation.","Implementation may exist, but it is not credited without task-level evidence.","2026-07-28"
"UX-029B","Phase 3","Artist","ART-10","Press and blog publishing","Implement the complete responsive workflow and all system states for Press and blog publishing.","Press editor and blog ecosystem are substantial but author role, editorial review, and distribution states need clearer hierarchy.","Separate blog, press release, journalist pitch, and article workflows; show review/distribution status and audience.","P1","L","UX-029A,FND-020,FND-023,FND-026,FND-027,FND-034","Authors can draft, preview, submit, revise, publish, and measure the correct content type.","","not started","not started","No task-specific acceptance bundle located during the initial reconciliation.","Implementation may exist, but it is not credited without task-level evidence.","2026-07-28"
"UX-029C","Phase 7","Artist","ART-10","Press and blog publishing","Validate accessibility, mobile behavior, performance, telemetry, permissions, and recovery for Press and blog publishing.","Press editor and blog ecosystem are substantial but author role, editorial review, and distribution states need clearer hierarchy.","Separate blog, press release, journalist pitch, and article workflows; show review/distribution status and audience.","P1","M","UX-029B,FND-040","Automated and manual evidence proves Press and blog publishing at 320px, tablet, desktop, keyboard, screen reader, slow network, empty data, error, and forbidden states.","","not started","not started","No task-specific acceptance bundle located during the initial reconciliation.","Implementation may exist, but it is not credited without task-level evidence.","2026-07-28"
"UX-030A","Phase 3","Artist","ART-11","Artist events and bookings","Confirm canonical user journey, route ownership, permissions, and object status model for Artist events and bookings.","Event routes include large monoliths and mock-filter behavior; booking and event ownership can blur.","Use one event lifecycle with artist role, organizer, venue, status, ticketing, team, tasks, and settlement clearly labeled.","P1","M","FND-002,FND-007,FND-011","Approved journey map covers entry, orientation, start, validation, completion, recovery, and return for Artist events and bookings.","","not started","not started","No task-specific acceptance bundle located during the initial reconciliation.","Implementation may exist, but it is not credited without task-level evidence.","2026-07-28"
"UX-030B","Phase 3","Artist","ART-11","Artist events and bookings","Implement the complete responsive workflow and all system states for Artist events and bookings.","Event routes include large monoliths and mock-filter behavior; booking and event ownership can blur.","Use one event lifecycle with artist role, organizer, venue, status, ticketing, team, tasks, and settlement clearly labeled.","P1","L","UX-030A,FND-020,FND-023,FND-026,FND-027,FND-034","Artist knows whether they own, perform at, or collaborate on an event and sees only authorized actions.","","not started","not started","No task-specific acceptance bundle located during the initial reconciliation.","Implementation may exist, but it is not credited without task-level evidence.","2026-07-28"
"UX-030C","Phase 7","Artist","ART-11","Artist events and bookings","Validate accessibility, mobile behavior, performance, telemetry, permissions, and recovery for Artist events and bookings.","Event routes include large monoliths and mock-filter behavior; booking and event ownership can blur.","Use one event lifecycle with artist role, organizer, venue, status, ticketing, team, tasks, and settlement clearly labeled.","P1","M","UX-030B,FND-040","Automated and manual evidence proves Artist events and bookings at 320px, tablet, desktop, keyboard, screen reader, slow network, empty data, error, and forbidden states.","","not started","not started","No task-specific acceptance bundle located during the initial reconciliation.","Implementation may exist, but it is not credited without task-level evidence.","2026-07-28"
"UX-031A","Phase 3","Artist","ART-12","Artist business workspace","Confirm canonical user journey, route ownership, permissions, and object status model for Artist business workspace.","Business analytics, contracts, education, fans, financial, and marketing are deep but fragmented.","Create a business hub centered on money, agreements, audience, campaigns, tasks, and advisor guidance.","P1","M","FND-002,FND-007,FND-011","Approved journey map covers entry, orientation, start, validation, completion, recovery, and return for Artist business workspace.","","not started","not started","No task-specific acceptance bundle located during the initial reconciliation.","Implementation may exist, but it is not credited without task-level evidence.","2026-07-28"
"UX-031B","Phase 3","Artist","ART-12","Artist business workspace","Implement the complete responsive workflow and all system states for Artist business workspace.","Business analytics, contracts, education, fans, financial, and marketing are deep but fragmented.","Create a business hub centered on money, agreements, audience, campaigns, tasks, and advisor guidance.","P1","L","UX-031A,FND-020,FND-023,FND-026,FND-027,FND-034","Key business questions are answered with drill-downs rather than duplicate dashboards.","","not started","not started","No task-specific acceptance bundle located during the initial reconciliation.","Implementation may exist, but it is not credited without task-level evidence.","2026-07-28"
"UX-031C","Phase 7","Artist","ART-12","Artist business workspace","Validate accessibility, mobile behavior, performance, telemetry, permissions, and recovery for Artist business workspace.","Business analytics, contracts, education, fans, financial, and marketing are deep but fragmented.","Create a business hub centered on money, agreements, audience, campaigns, tasks, and advisor guidance.","P1","M","UX-031B,FND-040","Automated and manual evidence proves Artist business workspace at 320px, tablet, desktop, keyboard, screen reader, slow network, empty data, error, and forbidden states.","","not started","not started","No task-specific acceptance bundle located during the initial reconciliation.","Implementation may exist, but it is not credited without task-level evidence.","2026-07-28"
"UX-032A","Phase 3","Artist","ART-13","Campaigns and social integrations","Confirm canonical user journey, route ownership, permissions, and object status model for Campaigns and social integrations.","Integrations and cross-platform posting need connection health, permissions, and failure recovery.","Show connection state, scope, last sync, token expiry, per-channel preview, partial publish failures, and retry.","P1","M","FND-002,FND-007,FND-011","Approved journey map covers entry, orientation, start, validation, completion, recovery, and return for Campaigns and social integrations.","","not started","not started","No task-specific acceptance bundle located during the initial reconciliation.","Implementation may exist, but it is not credited without task-level evidence.","2026-07-28"
"UX-032B","Phase 3","Artist","ART-13","Campaigns and social integrations","Implement the complete responsive workflow and all system states for Campaigns and social integrations.","Integrations and cross-platform posting need connection health, permissions, and failure recovery.","Show connection state, scope, last sync, token expiry, per-channel preview, partial publish failures, and retry.","P1","L","UX-032A,FND-020,FND-023,FND-026,FND-027,FND-034","A failed channel never makes the entire campaign appear successful.","","not started","not started","No task-specific acceptance bundle located during the initial reconciliation.","Implementation may exist, but it is not credited without task-level evidence.","2026-07-28"
"UX-032C","Phase 7","Artist","ART-13","Campaigns and social integrations","Validate accessibility, mobile behavior, performance, telemetry, permissions, and recovery for Campaigns and social integrations.","Integrations and cross-platform posting need connection health, permissions, and failure recovery.","Show connection state, scope, last sync, token expiry, per-channel preview, partial publish failures, and retry.","P1","M","UX-032B,FND-040","Automated and manual evidence proves Campaigns and social integrations at 320px, tablet, desktop, keyboard, screen reader, slow network, empty data, error, and forbidden states.","","not started","not started","No task-specific acceptance bundle located during the initial reconciliation.","Implementation may exist, but it is not credited without task-level evidence.","2026-07-28"
"UX-033A","Phase 3","Artist","ART-14","Fans and community","Confirm canonical user journey, route ownership, permissions, and object status model for Fans and community.","Fan engagement, community, network, messages, and subscriptions have overlapping audiences.","Create audience segments and explicit actions: announce, message, reward, invite, or analyze.","P1","M","FND-002,FND-007,FND-011","Approved journey map covers entry, orientation, start, validation, completion, recovery, and return for Fans and community.","","not started","not started","No task-specific acceptance bundle located during the initial reconciliation.","Implementation may exist, but it is not credited without task-level evidence.","2026-07-28"
"UX-033B","Phase 3","Artist","ART-14","Fans and community","Implement the complete responsive workflow and all system states for Fans and community.","Fan engagement, community, network, messages, and subscriptions have overlapping audiences.","Create audience segments and explicit actions: announce, message, reward, invite, or analyze.","P1","L","UX-033A,FND-020,FND-023,FND-026,FND-027,FND-034","Artists can identify who receives a communication and respect opt-outs and privacy.","","not started","not started","No task-specific acceptance bundle located during the initial reconciliation.","Implementation may exist, but it is not credited without task-level evidence.","2026-07-28"
"UX-033C","Phase 7","Artist","ART-14","Fans and community","Validate accessibility, mobile behavior, performance, telemetry, permissions, and recovery for Fans and community.","Fan engagement, community, network, messages, and subscriptions have overlapping audiences.","Create audience segments and explicit actions: announce, message, reward, invite, or analyze.","P1","M","UX-033B,FND-040","Automated and manual evidence proves Fans and community at 320px, tablet, desktop, keyboard, screen reader, slow network, empty data, error, and forbidden states.","","not started","not started","No task-specific acceptance bundle located during the initial reconciliation.","Implementation may exist, but it is not credited without task-level evidence.","2026-07-28"
"UX-034A","Phase 3","Artist","ART-15","Store, merch, tickets, and royalties","Confirm canonical user journey, route ownership, permissions, and object status model for Store, merch, tickets, and royalties.","Commerce surfaces are split among store, merchandise, tickets, music marketplace, and royalties.","Provide one revenue hub with product type-specific management and a unified orders/payouts view.","P1","M","FND-002,FND-007,FND-011","Approved journey map covers entry, orientation, start, validation, completion, recovery, and return for Store, merch, tickets, and royalties.","","not started","not started","No task-specific acceptance bundle located during the initial reconciliation.","Implementation may exist, but it is not credited without task-level evidence.","2026-07-28"
"UX-034B","Phase 3","Artist","ART-15","Store, merch, tickets, and royalties","Implement the complete responsive workflow and all system states for Store, merch, tickets, and royalties.","Commerce surfaces are split among store, merchandise, tickets, music marketplace, and royalties.","Provide one revenue hub with product type-specific management and a unified orders/payouts view.","P1","L","UX-034A,FND-020,FND-023,FND-026,FND-027,FND-034","Artist can trace a listing or ticket from publish through order, fulfillment, refund, fee, and payout.","","not started","not started","No task-specific acceptance bundle located during the initial reconciliation.","Implementation may exist, but it is not credited without task-level evidence.","2026-07-28"
"UX-034C","Phase 7","Artist","ART-15","Store, merch, tickets, and royalties","Validate accessibility, mobile behavior, performance, telemetry, permissions, and recovery for Store, merch, tickets, and royalties.","Commerce surfaces are split among store, merchandise, tickets, music marketplace, and royalties.","Provide one revenue hub with product type-specific management and a unified orders/payouts view.","P1","M","UX-034B,FND-040","Automated and manual evidence proves Store, merch, tickets, and royalties at 320px, tablet, desktop, keyboard, screen reader, slow network, empty data, error, and forbidden states.","","not started","not started","No task-specific acceptance bundle located during the initial reconciliation.","Implementation may exist, but it is not credited without task-level evidence.","2026-07-28"
"UX-035A","Phase 4","Venue","VEN-01","Venue operations shell","Confirm canonical user journey, route ownership, permissions, and object status model for Venue operations shell.","Canonical VenueOperationsShell now exists, but root global nav and legacy dashboard routes still add chrome and route duplication.","Make the venue shell canonical; remove duplicate chrome; preserve global account switching through a compact utility header.","P1","M","FND-002,FND-007,FND-011","Approved journey map covers entry, orientation, start, validation, completion, recovery, and return for Venue operations shell.","","needs remediation","needs remediation","VenueOperationsShell owns /venue chrome; root AppChrome is suppressed for operational Venue routes; canonical IA redirects and focused shell visibility tests.","Double chrome is removed and one responsive navigation model remains; manual viewport and assistive-technology acceptance is still required.","2026-07-28"
