task_id,wave,phase,workstream,title,finding_ids,dependencies,size,risk,objective,implementation,current_target_files,suggested_new_targets,acceptance,tests,status,owner,pr,evidence
ADMUX-0702,W11,Phase 07 — Logistics & Communications,Logistics Command Center,Make Logistics scope and metrics truthful/actionable,"AUX-LOG-003, AUX-LOG-004, AUX-LOG-006, AUX-LOG-011","ADMUX-0202, ADMUX-0103",L,High,Turn Logistics Overview into a scope-safe exception command center.,Use canonical hierarchical scope breadcrumb; attach state/freshness to each metric; prioritize blockers/next movements and compact domain health; remove false Not Started/No Bookings on failed data.,app/admin/dashboard/logistics/logistics-page-client.tsx,,Operator can identify exact org→tour→event→leg scope; failed source never renders valid zero/not-started; next movement is obvious.,Multi-scope test; fault injection; 5-second test.,Not Started,,,
ADMUX-0703,W11,Phase 07 — Logistics & Communications,Canonical Logistics Workspace,Consolidate duplicate Transport/Travel/Comms/Event logistics surfaces,"AUX-LOG-005, AUX-LOG-007, AUX-LOG-008, AUX-LOG-009, AUX-LOG-010, AUX-LOG-012","ADMUX-0111, ADMUX-0701",XL,High,Eliminate parallel domain editors and long stacked travel/comms pages.,"Choose canonical transport editor, split Travel/Lodging or create focused subviews, define Message/Broadcast/Logistics-note taxonomy, rename/aggregate timeline accurately, and expose degraded event-owner/thread metadata when capabilities depend on it.",app/admin/dashboard/logistics/logistics-page-client.tsx; app/admin/dashboard/events/[id]/page.tsx,,One clear editor per entity class; Travel tasks stay focused; communications concepts are distinguishable; timeline title matches content.,Cross-editor parity test; travel/comms first-click tests; metadata-failure test.,Not Started,,,
ADMUX-0704,W12,Phase 07 — Logistics & Communications,Communications,Implement responsive unread-first Inbox,"AUX-COM-001, AUX-COM-002, AUX-COM-003, AUX-COM-004, AUX-COM-006","ADMUX-0204, ADMUX-0110",XL,High,Make the unified inbox a real desktop/mobile operational communication tool.,Desktop split-pane with flexible height; mobile list→conversation navigation; render unread counts/weight and filters; add inbox search/sections; update non-selected conversation metadata in realtime or expose freshness.,app/admin/dashboard/components/admin-unified-inbox.tsx,,30-conversation mobile flow remains usable; unread work is visible without opening threads; new message elsewhere updates inbox metadata.,Mobile viewport tests; realtime unread test; keyboard scroll.,Not Started,,,
ADMUX-0705,W12,Phase 07 — Logistics & Communications,Communications,Upgrade voice-note and attachment trust UX,"AUX-COM-007, AUX-COM-008, AUX-COM-009","ADMUX-0209, ADMUX-0704",L,High,"Make message attachments/voice notes reviewable, accessible and private by default.",Add recording duration/cancel/preview/remove/upload progress; enlarge accessible pending-file remove controls; move operational attachments to private authorized/signed retrieval according to security plan.,app/admin/dashboard/components/admin-unified-inbox.tsx,,Voice note can be canceled/reviewed before send; touch controls are usable; unauthenticated attachment access is rejected.,Microphone-denied/cancel/preview tests; unauthenticated attachment negative test.,Not Started,,,
ADMUX-0801,W13,"Phase 08 — Ticketing, Finance & Vendors",Ticketing Workspace,Reorganize Ticketing and lazy-load domain data,"AUX-TIX-001, AUX-TIX-003, AUX-TIX-004, AUX-TIX-005, AUX-TIX-010","ADMUX-0501, ADMUX-0202",XL,High,Replace the 12-tab ticketing feature inventory with a workflow-oriented workspace.,"Group Setup/Inventory, Sales/Orders, Admissions/Guests, Marketing and Reporting/Settings; load summary first and domain data on activation; move read-model/ledger diagnostics into relevant subviews; require concrete verified Event metadata for sharing.",app/admin/dashboard/ticketing/page.tsx,,Initial request fanout drops; child failure is explicit; first-click ticketing tasks improve; All Events cannot generate synthetic event sharing.,Network profile; child failure matrix; ticketing first-click tests.,Not Started,,,
ADMUX-0802,W13,"Phase 08 — Ticketing, Finance & Vendors",Finance Workspace,Make Finance truthful and task-oriented,"AUX-FIN-001, AUX-FIN-005, AUX-FIN-006, AUX-FIN-007","ADMUX-0202, ADMUX-0306",XL,High,"Make Finance clearly distinguish authoritative data, exceptions and canonical budget/settlement workflows.",Never render zero KPI after failed primary load; prioritize reconciliation/next actions; consolidate legacy budget cards/dialog into versioned workspace after parity; show human-readable settlement identity.,app/admin/dashboard/finances/page.tsx,,Finance failure is visibly unavailable/stale; one budget flow remains; settlement can be identified by event/tour name/date.,Finance fault injection; budget parity; settlement lookup test.,Not Started,,,
ADMUX-0803,W13,"Phase 08 — Ticketing, Finance & Vendors",Vendors & Contracts,Clarify Vendor Master/Contract ownership and naming,"AUX-CON-002, AUX-CON-004","ADMUX-0111, ADMUX-0101",M,Medium,"Make vendor identity, assignment, contract and governance boundaries understandable.","Choose canonical parent label/route alias; define Vendor Master as identity/compliance source, Event/Tour vendor panels as scoped assignments, Contracts as legal/commercial records and Organization tab as governance/defaults.",app/admin/dashboard/contracts/page.tsx; components/admin/event-vendor-manager.tsx; components/admin/tour-vendor-manager.tsx; app/admin/dashboard/organization/page.tsx,,Add vendor→assign→contract→obligation flow is understandable and uses one vendor identity.,Cross-surface journey test; route label test.,Not Started,,,
ADMUX-0901,W14,Phase 09 — Analytics & Data Trust,Analytics,"Fix Analytics failure, export and realtime scope","AUX-ANL-001, AUX-ANL-002, AUX-ANL-003, AUX-ANL-005, AUX-ANL-007","ADMUX-0202, ADMUX-0307",XL,High,Make analytics trustworthy enough for management decisions.,Replace EMPTY_STATS-on-failure with unavailable/stale states; pass acting context to export; surface export failures; explicitly scope realtime activity to active organization and show freshness; suppress invalid derived visuals when primary stats are unavailable.,app/admin/dashboard/analytics/page.tsx,,Stats failure never looks zero; Org A export/live feed never leaks Org B; export errors are actionable.,Two-org realtime/export tests; primary stats fault injection.,Not Started,,,
ADMUX-1001,W15,Phase 10 — Mobile & Accessibility Hardening,Mobile/A11y,Run and close cross-surface mobile/a11y migration,,"ADMUX-0204, ADMUX-0209, ADMUX-0210, ADMUX-0501, ADMUX-0704",L,High,Close remaining cross-surface responsive accessibility gaps after shared primitives land.,"Audit every migrated major workspace at 320/375/390/768 widths, 200% zoom, keyboard-only and screen-reader. Fix remaining table overflow, focus order, touch targets, action overflow and scroll ownership.",,tests/e2e/admin-accessibility/*,No critical/serious axe violations in target routes; all launch-critical workflows are keyboard and mobile operable; responsive tables preserve key identity/actions.,axe; screen-reader scripts; Playwright viewport suite.,Not Started,,,
ADMUX-1101,W16,Phase 11 — Runtime Verification & Rollout,Runtime UX Verification,Execute authenticated cross-persona UX journeys,AUX-FLOW-010,"ADMUX-0302, ADMUX-0303, ADMUX-0403, ADMUX-0506, ADMUX-0603, ADMUX-0705, ADMUX-0802, ADMUX-0901, ADMUX-1001",XL,High,Prove that the redesigned Admin works across real account/persona boundaries.,"Run deterministic Admin→Worker, Admin→Artist, vendor/contract, ticket refund→finance, communications, multi-org scope and mobile journeys. Capture URL/scope transitions, feedback, failure recovery and accessibility evidence.",multiple routes,,"Every launch-critical persona journey passes with no ambiguous scope, false-empty state, broken Back behavior or inaccessible control.",Full runtime UX scenario suite; video/screenshots/network logs.,Not Started,,,
ADMUX-1102,W17,Phase 11 — Runtime Verification & Rollout,Rollout,Feature-flag and migrate high-risk UX architecture,,ADMUX-1101,L,High,Roll out navigation/workspace changes without stranding deep links or active organizations.,"Use route aliases and feature flags for IA/workspace migrations, add analytics for old/new route use, stage rollout by internal/test organizations, and remove legacy UI only after parity + usage verification.",,lib/feature-flags/admin-ux-*; docs/admin/ux/ROLLOUT.md,Legacy bookmarked URLs still work during migration; rollback can restore prior workspace; no data-model destructive migration is required solely for UI changes.,Flag off/on smoke; alias tests; rollback drill.,Not Started,,,
