finding_id,severity,area,primary_task,wave,phase,workstream,current_files,acceptance
AUX-LOG-002,P1,Initial data fanout,ADMUX-0701,W11,Phase 07 — Logistics & Communications,Logistics Architecture,app/admin/dashboard/logistics/logistics-page-client.tsx,Overview no longer fetches full data for unused domains; first-click task mapping matches live-event terminology.
AUX-LOG-003,P1,Logistics data truthfulness,ADMUX-0702,W11,Phase 07 — Logistics & Communications,Logistics Command Center,app/admin/dashboard/logistics/logistics-page-client.tsx,Operator can identify exact org→tour→event→leg scope; failed source never renders valid zero/not-started; next movement is obvious.
AUX-LOG-004,P2,Visible scope hierarchy,ADMUX-0702,W11,Phase 07 — Logistics & Communications,Logistics Command Center,app/admin/dashboard/logistics/logistics-page-client.tsx,Operator can identify exact org→tour→event→leg scope; failed source never renders valid zero/not-started; next movement is obvious.
AUX-LOG-005,P1,Canonical workspace duplication,ADMUX-0703,W11,Phase 07 — Logistics & Communications,Canonical Logistics Workspace,app/admin/dashboard/logistics/logistics-page-client.tsx; app/admin/dashboard/events/[id]/page.tsx,One clear editor per entity class; Travel tasks stay focused; communications concepts are distinguishable; timeline title matches content.
AUX-LOG-006,P2,Overview density,ADMUX-0702,W11,Phase 07 — Logistics & Communications,Logistics Command Center,app/admin/dashboard/logistics/logistics-page-client.tsx,Operator can identify exact org→tour→event→leg scope; failed source never renders valid zero/not-started; next movement is obvious.
AUX-LOG-007,P2,Travel workspace overload,ADMUX-0703,W11,Phase 07 — Logistics & Communications,Canonical Logistics Workspace,app/admin/dashboard/logistics/logistics-page-client.tsx,One clear editor per entity class; Travel tasks stay focused; communications concepts are distinguishable; timeline title matches content.
AUX-LOG-008,P2,Transportation duplication,ADMUX-0703,W11,Phase 07 — Logistics & Communications,Canonical Logistics Workspace,app/admin/dashboard/logistics/logistics-page-client.tsx,One clear editor per entity class; Travel tasks stay focused; communications concepts are distinguishable; timeline title matches content.
AUX-LOG-009,P2,Communications taxonomy,ADMUX-0703,W11,Phase 07 — Logistics & Communications,Canonical Logistics Workspace,app/admin/dashboard/logistics/logistics-page-client.tsx,One clear editor per entity class; Travel tasks stay focused; communications concepts are distinguishable; timeline title matches content.
AUX-LOG-010,P2,Timeline title/content mismatch,ADMUX-0703,W11,Phase 07 — Logistics & Communications,Canonical Logistics Workspace,app/admin/dashboard/logistics/logistics-page-client.tsx,One clear editor per entity class; Travel tasks stay focused; communications concepts are distinguishable; timeline title matches content.
AUX-LOG-011,P2,Partial loading model,ADMUX-0702,W11,Phase 07 — Logistics & Communications,Logistics Command Center,app/admin/dashboard/logistics/logistics-page-client.tsx,Operator can identify exact org→tour→event→leg scope; failed source never renders valid zero/not-started; next movement is obvious.
AUX-LOG-012,P2,Event metadata failure visibility,ADMUX-0703,W11,Phase 07 — Logistics & Communications,Canonical Logistics Workspace,app/admin/dashboard/logistics/logistics-page-client.tsx,One clear editor per entity class; Travel tasks stay focused; communications concepts are distinguishable; timeline title matches content.
AUX-ORG-001,P1,Organization governance IA,ADMUX-0603,W10,"Phase 06 — Workforce, Hiring & Governance",Organization Governance,app/admin/dashboard/organization/page.tsx,Owner/admin common tasks have clear first clicks; lower-permission users understand locked capability; no-org CTA solves scope; direct restricted URLs normalize safely.
AUX-ORG-002,P2,Locked capabilities UX,ADMUX-0603,W10,"Phase 06 — Workforce, Hiring & Governance",Organization Governance,app/admin/dashboard/organization/page.tsx,Owner/admin common tasks have clear first clicks; lower-permission users understand locked capability; no-org CTA solves scope; direct restricted URLs normalize safely.
AUX-ORG-003,P2,Capability loading flicker,ADMUX-0603,W10,"Phase 06 — Workforce, Hiring & Governance",Organization Governance,app/admin/dashboard/organization/page.tsx,Owner/admin common tasks have clear first clicks; lower-permission users understand locked capability; no-org CTA solves scope; direct restricted URLs normalize safely.
AUX-ORG-004,P2,No-organization recovery,ADMUX-0603,W10,"Phase 06 — Workforce, Hiring & Governance",Organization Governance,app/admin/dashboard/organization/page.tsx,Owner/admin common tasks have clear first clicks; lower-permission users understand locked capability; no-org CTA solves scope; direct restricted URLs normalize safely.
AUX-ORG-005,P2,Configuration vs operations duplication,ADMUX-0603,W10,"Phase 06 — Workforce, Hiring & Governance",Organization Governance,app/admin/dashboard/organization/page.tsx; app/admin/dashboard/components/optimized-sidebar.tsx,Owner/admin common tasks have clear first clicks; lower-permission users understand locked capability; no-org CTA solves scope; direct restricted URLs normalize safely.
AUX-ORG-006,P2,Active tab validation,ADMUX-0603,W10,"Phase 06 — Workforce, Hiring & Governance",Organization Governance,app/admin/dashboard/organization/page.tsx,Owner/admin common tasks have clear first clicks; lower-permission users understand locked capability; no-org CTA solves scope; direct restricted URLs normalize safely.
AUX-STATE-001,P1,Universal data-state truth,ADMUX-0202,W03,Phase 02 — Shared UI & State Platform,State Truthfulness,multiple inspected files,No migrated P1 surface maps failed primary data to legitimate 0/empty; stale/partial data is visibly labeled; action errors do not replace healthy page state.
AUX-STATE-002,P2,Error scope consistency,ADMUX-0202,W03,Phase 02 — Shared UI & State Platform,State Truthfulness,app/admin/dashboard/events/events-page-client.tsx; app/admin/dashboard/analytics/page.tsx,No migrated P1 surface maps failed primary data to legitimate 0/empty; stale/partial data is visibly labeled; action errors do not replace healthy page state.
AUX-STATE-003,P2,Freshness language,ADMUX-0202,W03,Phase 02 — Shared UI & State Platform,State Truthfulness,multiple inspected files,No migrated P1 surface maps failed primary data to legitimate 0/empty; stale/partial data is visibly labeled; action errors do not replace healthy page state.
AUX-STATE-004,P2,Critical-action consistency,ADMUX-0208,W04,Phase 02 — Shared UI & State Platform,Critical Actions,app/admin/dashboard/events/[id]/page.tsx; app/admin/dashboard/tours/[id]/page.tsx; app/admin/dashboard/finances/page.tsx; app/admin/dashboard/ticketing/page.tsx,High-impact mutations never occur from an unexplained generic select/button; blocked transitions explain why.
AUX-TIX-001,P1,Ticketing IA,ADMUX-0801,W13,"Phase 08 — Ticketing, Finance & Vendors",Ticketing Workspace,app/admin/dashboard/ticketing/page.tsx,Initial request fanout drops; child failure is explicit; first-click ticketing tasks improve; All Events cannot generate synthetic event sharing.
AUX-TIX-002,P1,Ticketing deep links,ADMUX-0110,W02,"Phase 01 — Navigation, URL & Scope Foundation",URL & Deep Linking,app/admin/dashboard/ticketing/page.tsx,Each workspace restores exact meaningful state after refresh/share/back; selected Event/conversation/date scope remains visible.
AUX-TIX-003,P1,Ticketing initial fanout,ADMUX-0801,W13,"Phase 08 — Ticketing, Finance & Vendors",Ticketing Workspace,app/admin/dashboard/ticketing/page.tsx,Initial request fanout drops; child failure is explicit; first-click ticketing tasks improve; All Events cannot generate synthetic event sharing.
AUX-TIX-004,P1,Ticketing partial failure truth,ADMUX-0801,W13,"Phase 08 — Ticketing, Finance & Vendors",Ticketing Workspace,app/admin/dashboard/ticketing/page.tsx,Initial request fanout drops; child failure is explicit; first-click ticketing tasks improve; All Events cannot generate synthetic event sharing.
AUX-TIX-005,P2,Ticketing hierarchy,ADMUX-0801,W13,"Phase 08 — Ticketing, Finance & Vendors",Ticketing Workspace,app/admin/dashboard/ticketing/page.tsx,Initial request fanout drops; child failure is explicit; first-click ticketing tasks improve; All Events cannot generate synthetic event sharing.
AUX-TIX-006,P2,Event scope persistence,ADMUX-0110,W02,"Phase 01 — Navigation, URL & Scope Foundation",URL & Deep Linking,app/admin/dashboard/ticketing/page.tsx,Each workspace restores exact meaningful state after refresh/share/back; selected Event/conversation/date scope remains visible.
AUX-TIX-007,P1,Ticket sales export,ADMUX-0305,W06,Phase 03 — Collection Platform,Ticket Orders,app/admin/dashboard/ticketing/page.tsx,30th+ order is searchable; refund view uses same row/action model; CSV includes complete scoped data and escapes fields correctly.
AUX-TIX-008,P2,Transaction table duplication,ADMUX-0305,W06,Phase 03 — Collection Platform,Ticket Orders,app/admin/dashboard/ticketing/page.tsx,30th+ order is searchable; refund view uses same row/action model; CSV includes complete scoped data and escapes fields correctly.
AUX-TIX-009,P2,Order history scale,ADMUX-0305,W06,Phase 03 — Collection Platform,Ticket Orders,app/admin/dashboard/ticketing/page.tsx,30th+ order is searchable; refund view uses same row/action model; CSV includes complete scoped data and escapes fields correctly.
AUX-TIX-010,P2,Sharing eligibility,ADMUX-0801,W13,"Phase 08 — Ticketing, Finance & Vendors",Ticketing Workspace,app/admin/dashboard/ticketing/page.tsx,Initial request fanout drops; child failure is explicit; first-click ticketing tasks improve; All Events cannot generate synthetic event sharing.
AUX-TIX-011,P3,Toast consistency,ADMUX-0205,W04,Phase 02 — Shared UI & State Platform,Admin Design System,app/admin/dashboard/ticketing/page.tsx,No new duplicate primitive family; migrated pages use the same focus/error/loading/action semantics; contracts page no longer double-pads.
AUX-TIX-012,P3,Ticketing loading state,ADMUX-0206,W04,Phase 02 — Shared UI & State Platform,Loading UX,app/admin/dashboard/ticketing/page.tsx,Loading preserves major geometry and avoids obvious layout jumps.
AUX-TOUR-001,P2,Saved views,ADMUX-0301,W05,Phase 03 — Collection Platform,Tours Collection,app/admin/dashboard/tours/tours-page-client.tsx,No browser prompt; all drafts discoverable; view state is understandable and shareable.
AUX-TOUR-002,P1,Tour filter deep links,ADMUX-0106,W02,"Phase 01 — Navigation, URL & Scope Foundation",URL & Deep Linking,app/admin/dashboard/tours/tours-page-client.tsx,Two sessions opening the same URL see the same working set; Back/Forward restores changes.
AUX-TOUR-003,P1,Tour pagination,ADMUX-0302,W05,Phase 03 — Collection Platform,Tours Collection,app/admin/dashboard/tours/tours-page-client.tsx,115th tour is discoverable; KPIs match authoritative totals; failed logistics metrics never render as 0%; card actions are accessible.
AUX-TOUR-004,P1,Tour KPI semantics,ADMUX-0302,W05,Phase 03 — Collection Platform,Tours Collection,app/admin/dashboard/tours/tours-page-client.tsx,115th tour is discoverable; KPIs match authoritative totals; failed logistics metrics never render as 0%; card actions are accessible.
AUX-TOUR-005,P2,Saved-view contract,ADMUX-0301,W05,Phase 03 — Collection Platform,Tours Collection,app/admin/dashboard/tours/tours-page-client.tsx,No browser prompt; all drafts discoverable; view state is understandable and shareable.
AUX-TOUR-006,P2,Draft recovery,ADMUX-0301,W05,Phase 03 — Collection Platform,Tours Collection,app/admin/dashboard/tours/tours-page-client.tsx,No browser prompt; all drafts discoverable; view state is understandable and shareable.
AUX-TOUR-007,P2,Collection toolbar,ADMUX-0301,W05,Phase 03 — Collection Platform,Tours Collection,app/admin/dashboard/tours/tours-page-client.tsx,No browser prompt; all drafts discoverable; view state is understandable and shareable.
AUX-TOUR-008,P2,Portfolio density,ADMUX-0302,W05,Phase 03 — Collection Platform,Tours Collection,app/admin/dashboard/tours/tours-page-client.tsx,115th tour is discoverable; KPIs match authoritative totals; failed logistics metrics never render as 0%; card actions are accessible.
AUX-TOUR-009,P1,Tour card metric truth,ADMUX-0302,W05,Phase 03 — Collection Platform,Tours Collection,components/admin/operations/tour-operations-card.tsx,115th tour is discoverable; KPIs match authoritative totals; failed logistics metrics never render as 0%; card actions are accessible.
AUX-TOUR-010,P3,Tour card actions,ADMUX-0302,W05,Phase 03 — Collection Platform,Tours Collection,components/admin/operations/tour-operations-card.tsx,115th tour is discoverable; KPIs match authoritative totals; failed logistics metrics never render as 0%; card actions are accessible.
AUX-TOUR-011,P1,Tour detail architecture,ADMUX-0502,W08,Phase 05 — Event & Tour Workspaces,Tour Record,app/admin/dashboard/tours/[id]/page.tsx,Overview loads without unnecessary editor bundles; domain failure is isolated; common tasks need fewer first-level choices.
AUX-TOUR-012,P2,Tour detail IA,ADMUX-0502,W08,Phase 05 — Event & Tour Workspaces,Tour Record,lib/admin/tour-command-center-tabs.ts,Overview loads without unnecessary editor bundles; domain failure is isolated; common tasks need fewer first-level choices.
AUX-WRK-001,P1,Staff mobile tabs,ADMUX-0601,W10,"Phase 06 — Workforce, Hiring & Governance",Staff Operations,components/hiring/staff-operations-tabs.tsx,Mobile tabs are named; creating a shift does not require scrolling through exception panels; conflicts/uncovered work are visible before opening subviews.
AUX-WRK-002,P2,Scheduling hierarchy,ADMUX-0601,W10,"Phase 06 — Workforce, Hiring & Governance",Staff Operations,components/hiring/staff-operations-tabs.tsx,Mobile tabs are named; creating a shift does not require scrolling through exception panels; conflicts/uncovered work are visible before opening subviews.
AUX-WRK-003,P2,Employer scope behavior,ADMUX-0109,W02,"Phase 01 — Navigation, URL & Scope Foundation",Workforce Scope,app/admin/dashboard/staff/page.tsx,No tab-specific missing-scope surprises; Hiring tab survives refresh/share/back.
AUX-WRK-004,P2,Staff primary actions,ADMUX-0601,W10,"Phase 06 — Workforce, Hiring & Governance",Staff Operations,components/hiring/staff-operations-tabs.tsx,Mobile tabs are named; creating a shift does not require scrolling through exception panels; conflicts/uncovered work are visible before opening subviews.
